Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,ADMINISTRACION_II,10.00,F,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,19.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,F,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,19.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,8.00,F,18.00,5
PREPARATORIA,TECNOLOGIA_I,7.00,F,18.00,5
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,F,18.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,F,18.00,5
PREPARATORIA,SOCIOLOGIA,8.00,F,18.00,5
PREPARATORIA,ADMINISTRACION_I,8.00,F,18.00,5
PREPARATORIA,HISTORIA_DEL_ARTE,8.00,M,20.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,20.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,M,20.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,20.00,6
PREPARATORIA,QUIMICA,7.00,M,19.00,3
PREPARATORIA,FILOSOFIA,5.00,M,19.00,5
PREPARATORIA,MATEMATICAS_IV,5.00,M,19.00,5
PREPARATORIA,SOCIOLOGIA,5.00,M,19.00,5
PREPARATORIA,PSICOLOGIA,8.00,M,19.00,5
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,5.00,M,19.00,5
PREPARATORIA,MATEMATICAS_FINANCIERAS,9.00,M,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,M,19.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,M,19.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,19.00,6
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,9.00,M,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,8.00,M,18.00,5
PREPARATORIA,CALCULO_DIFERENCIAL,8.00,M,18.00,5
PREPARATORIA,MATEMATICAS_FINANCIERAS,9.00,M,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,M,17.00,6
