Desc Carrera,Desc Materia,Calif Final,sexo,edad,Grado 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,9,M,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,8,M,19,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,9,M,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA I,8,M,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAMIENTO ORGANIZAC. I,9,F,18,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION II,9,F,18,6 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,10,F,18,6 
PREPARATORIA (NVO. PLAN),SOCIOLOGIA,9,F,18,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,9,F,18,6 
PREPARATORIA (NVO. PLAN),DERECHO,10,F,18,6 
PREPARATORIA (NVO. PLAN),TEM.SELEC.DE CIENCS D/LA S.II,10,F,19,6 
PREPARATORIA (NVO. PLAN),CALCULO INTEGRAL,8,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE QUIMICA II,8,F,19,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,9,F,19,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,10,F,19,6 
PREPARATORIA (NVO. PLAN),TECNOLOGIA II,9,F,19,6 
PREPARATORIA (NVO. PLAN),TEMAS SELECTOS DE FISICA II,9,F,19,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,7,M,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,7,M,18,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,5,M,18,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,7,M,18,6 
PREPARATORIA (NVO. PLAN),CALIDAD Y PRODUCTIVIDAD,6,F,18,6 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,5,F,18,6 
PREPARATORIA (NVO. PLAN),ESTRUC.SOCIOECONOM. DE MEXICO,5,F,18,6 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,5,F,18,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,5,F,18,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,7,F,18,6 
PREPARATORIA (NVO. PLAN),PSICOLOGIA,9,M,19,5 
PREPARATORIA (NVO. PLAN),ADMINISTRACION I,7,M,19,5 
PREPARATORIA (NVO. PLAN),PROBABILIDAD Y ESTADISTICA,8,M,19,5 
PREPARATORIA (NVO. PLAN),DERECHO,8,M,19,5 
PREPARATORIA (NVO. PLAN),LITERATURA II,9,M,19,5 
PREPARATORIA (NVO. PLAN),COMPORTAM. ORGANIZACIONAL II,9,F,18,6 
PREPARATORIA (NVO. PLAN),HISTORIA DEL ARTE,10,F,18,6 
PREPARATORIA (NVO. PLAN),MATEMATICAS FINANCIERAS,6,M,19,6 
